사업장명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,사업장면적,전화번호,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
오스틴 과훈단,강원특별자치도,인제군,강원특별자치도 인제군 남면 설악로 6-31,,37.915667585,128.0609456776,,,강원특별자치도 인제군청,033-460-2770,2025-12-24,4331000,강원특별자치도 인제군
곰배골길146·29,강원특별자치도,인제군,"강원특별자치도 인제군 인제읍 곰배골길 146-29, 1층",,38.0154847694,128.3970108806,,,강원특별자치도 인제군청,033-460-2770,2025-12-24,4331000,강원특별자치도 인제군
하추리 카페,강원특별자치도,인제군,강원특별자치도 인제군 인제읍 하추로 187,,38.0196278474,128.2817796851,,,강원특별자치도 인제군청,033-460-2770,2025-12-24,4331000,강원특별자치도 인제군
다라니 커피,강원특별자치도,인제군,강원특별자치도 인제군 북면 사현동길 24,,38.1581128966,128.2072886512,,,강원특별자치도 인제군청,033-460-2770,2025-12-24,4331000,강원특별자치도 인제군
메가엠지씨커피 인제현리점,강원특별자치도,인제군,강원특별자치도 인제군 기린면 내린천로 4018,,37.9549514846,128.3169333984,,,강원특별자치도 인제군청,033-460-2770,2025-12-24,4331000,강원특별자치도 인제군
시월오일,강원특별자치도,인제군,"강원특별자치도 인제군 기린면 내린천로 4028, 1층",,37.9557345847,128.3174914659,,,강원특별자치도 인제군청,033-460-2770,2025-12-24,4331000,강원특별자치도 인제군
컴포즈커피 강원원통점,강원특별자치도,인제군,"강원특별자치도 인제군 북면 원통로147번길 39-1, 1층",,38.123784871,128.2038954603,,,강원특별자치도 인제군청,033-460-2770,2025-12-24,4331000,강원특별자치도 인제군
카페 나무야,강원특별자치도,인제군,"강원특별자치도 인제군 인제읍 비봉로44번길 14, 2층",,38.0651604394,128.1733852518,,,강원특별자치도 인제군청,033-460-2770,2025-12-24,4331000,강원특별자치도 인제군
한자루체험농원(휴앤아크),강원특별자치도,인제군,"강원특별자치도 인제군 기린면 방동약수로 68, 1,2층",,37.9467875617,128.3885380671,,,강원특별자치도 인제군청,033-460-2770,2025-12-24,4331000,강원특별자치도 인제군
빙수당 인제현리점,강원특별자치도,인제군,"강원특별자치도 인제군 기린면 기린로 37-1, 1층",,37.9556533349,128.3177319047,,,강원특별자치도 인제군청,033-460-2770,2025-12-24,4331000,강원특별자치도 인제군
카페실버메이드,강원특별자치도,인제군,강원특별자치도 인제군 인제읍 인제로178번길 48,,38.0646179933,128.1732258348,,,강원특별자치도 인제군청,033-460-2770,2025-12-24,4331000,강원특별자치도 인제군
직원카페,강원특별자치도,인제군,강원특별자치도 인제군 인제읍 인제로187번길 8-1,,38.0695565855,128.1697822527,,,강원특별자치도 인제군청,033-460-2770,2025-12-24,4331000,강원특별자치도 인제군
달콤커피 인제점,강원특별자치도,인제군,강원특별자치도 인제군 북면 원통로168번길 1,,38.1221138576,128.203500136,,,강원특별자치도 인제군청,033-460-2770,2025-12-24,4331000,강원특별자치도 인제군
하늘빛풍차,강원특별자치도,인제군,강원특별자치도 인제군 북면 미시령로 1308,,38.2082131387,128.3550158503,,,강원특별자치도 인제군청,033-460-2770,2025-12-24,4331000,강원특별자치도 인제군
이디야 인제점,강원특별자치도,인제군,강원특별자치도 인제군 인제읍 인제로 200-1,,38.0691242654,128.1727010328,,,강원특별자치도 인제군청,033-460-2770,2025-12-24,4331000,강원특별자치도 인제군
카페 자작,강원특별자치도,인제군,"강원특별자치도 인제군 인제읍 자작나무숲길 1195, 1,2층",,38.0058999236,128.2386405386,,,강원특별자치도 인제군청,033-460-2770,2025-12-24,4331000,강원특별자치도 인제군
예티커피,강원특별자치도,인제군,강원특별자치도 인제군 북면 미시령로 1150,,38.1973906254,128.3433763963,,,강원특별자치도 인제군청,033-460-2770,2025-12-24,4331000,강원특별자치도 인제군
쓰리고,강원특별자치도,인제군,"강원특별자치도 인제군 북면 원통로147번길 28-1, 2층",,38.1227930569,128.2031885605,,,강원특별자치도 인제군청,033-460-2770,2025-12-24,4331000,강원특별자치도 인제군
설악휴게소 커피점,강원특별자치도,인제군,강원특별자치도 인제군 북면 설악로 3254,,38.1381191724,128.2452763551,,,강원특별자치도 인제군청,033-460-2770,2025-12-24,4331000,강원특별자치도 인제군
백억커피(부산청학점),부산광역시,영도구,"부산광역시 영도구 태종로 405, 302동 304호 (청학동)",부산광역시 영도구 청학동 537,35.0912454885,129.066583277,33.82,,부산광역시 영도구청,051-419-4401,2026-01-07,3280000,부산광역시 영도구
모스(MOS),부산광역시,영도구,"부산광역시 영도구 함지로 6, 함지그린아파트 104호 (동삼동)",부산광역시 영도구 동삼동 1124-1,35.0707979302,129.0593485648,10.9,,부산광역시 영도구청,051-419-4401,2026-01-07,3280000,부산광역시 영도구
동원에스테이트,부산광역시,영도구,"부산광역시 영도구 태종로 64-1, 1층 (대교동1가)",부산광역시 영도구 대교동1가 84-3,35.0926057165,129.0380570207,40.79,,부산광역시 영도구청,051-419-4401,2026-01-07,3280000,부산광역시 영도구
레드스푼컴퍼니,부산광역시,영도구,"부산광역시 영도구 태종로 727, 국립한국해양대학교 학생생활관 아라관 (동삼동)",부산광역시 영도구 동삼동 1,35.0744079571,129.0873481454,5,,부산광역시 영도구청,051-419-4401,2026-01-07,3280000,부산광역시 영도구
빵집오빠&다방오빠 영도점,부산광역시,영도구,"부산광역시 영도구 와치로 246, 1층 (동삼동)",부산광역시 영도구 동삼동 510-13,35.075334006,129.0684412833,53,,부산광역시 영도구청,051-419-4401,2026-01-07,3280000,부산광역시 영도구
무명일기,부산광역시,영도구,"부산광역시 영도구 봉래나루로 112, 대일창고 앞 (봉래동1가)",부산광역시 영도구 봉래동1가 194-1,35.095340006,129.040020769,5,,부산광역시 영도구청,051-419-4401,2026-01-07,3280000,부산광역시 영도구
콩사랑카페,부산광역시,영도구,"부산광역시 영도구 개나리길 204, 1층 (신선동3가)",부산광역시 영도구 신선동3가 11-1,35.0853145614,129.0437261535,70.71,,부산광역시 영도구청,051-419-4401,2026-01-07,3280000,부산광역시 영도구
삼진어묵 영도본점,부산광역시,영도구,"부산광역시 영도구 태종로99번길 36, 1층 (봉래동2가)",부산광역시 영도구 봉래동2가 39-1,35.0929565582,129.0427829511,297.53,051-412-5468,부산광역시 영도구청,051-419-4401,2026-01-07,3280000,부산광역시 영도구
마루밑,부산광역시,영도구,"부산광역시 영도구 와치로 250, 지하 1층 (동삼동)",부산광역시 영도구 동삼동 510-15,35.0753160824,129.0687681541,70.01,051-403-0281,부산광역시 영도구청,051-419-4401,2026-01-07,3280000,부산광역시 영도구
올가카페,부산광역시,영도구,"부산광역시 영도구 동삼서로 55, 1층 (동삼동)",부산광역시 영도구 동삼동 219-7,35.0833487816,129.0704293207,43.29,,부산광역시 영도구청,051-419-4401,2026-01-07,3280000,부산광역시 영도구
엔유PC,부산광역시,영도구,"부산광역시 영도구 동삼로 64, 1층 (동삼동)",부산광역시 영도구 동삼동 268-6,35.0791775103,129.070620753,22,,부산광역시 영도구청,051-419-4401,2026-01-07,3280000,부산광역시 영도구
더벤티 영도동삼점,부산광역시,영도구,"부산광역시 영도구 동삼로28번길 14, 1층 (동삼동)",부산광역시 영도구 동삼동 332-2,35.0767510635,129.0723795746,27.3,,부산광역시 영도구청,051-419-4401,2026-01-07,3280000,부산광역시 영도구
씨유 영도부산항W점,부산광역시,영도구,부산광역시 영도구 봉래나루로166번길 10,부산광역시 영도구 봉래동2가 140,35.09579394,129.0426596,3.3,,부산광역시 영도구청,051-419-4401,2026-01-07,3280000,부산광역시 영도구
맘토스트앤커피,부산광역시,영도구,"부산광역시 영도구 태종로 83, 주건축물제2동 1층 (대교동2가)",부산광역시 영도구 대교동2가 65,35.0923736225,129.0402931114,28.87,,부산광역시 영도구청,051-419-4401,2026-01-07,3280000,부산광역시 영도구
영도(0°)커피,부산광역시,영도구,"부산광역시 영도구 태종로 611, 112동 108호 (동삼동, 오션라이프 에일린의 뜰 1단지)",부산광역시 영도구 동삼동 383-1,35.0756069538,129.0742676677,36.86,,부산광역시 영도구청,051-419-4401,2026-01-07,3280000,부산광역시 영도구
씨유 영도흰여울문화마을점,부산광역시,영도구,"부산광역시 영도구 절영로 202-2, 1층 (영선동4가)",부산광역시 영도구 영선동4가 663,35.0794547662,129.0443671721,3.3,,부산광역시 영도구청,051-419-4401,2026-01-07,3280000,부산광역시 영도구
미식유랑단,부산광역시,영도구,"부산광역시 영도구 태종로 727, 국립한국해양대학교 (동삼동)",부산광역시 영도구 동삼동 1,35.0744079571,129.0873481454,5,,부산광역시 영도구청,051-419-4401,2026-01-07,3280000,부산광역시 영도구
씨유 영도중리로점,부산광역시,영도구,"부산광역시 영도구 중리북로 43-1, 1층 (동삼동)",부산광역시 영도구 동삼동 499-8,35.0716552684,129.069115828,3.3,,부산광역시 영도구청,051-419-4401,2026-01-07,3280000,부산광역시 영도구
도요(DOYO),부산광역시,영도구,"부산광역시 영도구 청학동로 16, 3,4층 (청학동)",부산광역시 영도구 청학동 148-121,35.0889938083,129.0619755629,511.36,,부산광역시 영도구청,051-419-4401,2026-01-07,3280000,부산광역시 영도구
도요(DOYO),부산광역시,영도구,"부산광역시 영도구 청학동로 16, 1층 (청학동)",부산광역시 영도구 청학동 148-121,35.0889938083,129.0619755629,145.04,,부산광역시 영도구청,051-419-4401,2026-01-07,3280000,부산광역시 영도구
씨유(CU)영도모닝점,부산광역시,영도구,"부산광역시 영도구 태종로100번길 3, 1층 (대교동2가)",부산광역시 영도구 대교동2가 112-2,35.0912089857,129.0417944644,3.3,,부산광역시 영도구청,051-419-4401,2026-01-07,3280000,부산광역시 영도구
영도씨(0℃)카페 이에스지(ESG)센터점(부산영도시니어클럽),부산광역시,영도구,"부산광역시 영도구 상리로 63-4, 동삼주공영구임대아파트 지하1층 (동삼동)",부산광역시 영도구 동삼동 1123,35.0856354553,129.0708170127,46.73,051-413-7272,부산광역시 영도구청,051-419-4401,2026-01-07,3280000,부산광역시 영도구
빠스밥스,부산광역시,영도구,"부산광역시 영도구 수정길 169, 1층 (신선동3가)",부산광역시 영도구 신선동3가 131-5,35.084300132,129.0434254451,12.73,051-412-8082,부산광역시 영도구청,051-419-4401,2026-01-07,3280000,부산광역시 영도구
백설대학,부산광역시,영도구,"부산광역시 영도구 동삼로28번길 6, 1층 (동삼동)",부산광역시 영도구 동삼동 358-6,35.0764065186,129.0721966719,54.22,051-404-5039,부산광역시 영도구청,051-419-4401,2026-01-07,3280000,부산광역시 영도구
이룸붕어빵,부산광역시,영도구,"부산광역시 영도구 중리로 46-1, 승진빌딩 101호 (동삼동)",부산광역시 영도구 동삼동 510-22,35.0752213609,129.0684042383,3,051-403-6657,부산광역시 영도구청,051-419-4401,2026-01-07,3280000,부산광역시 영도구
투썸플레이스 영도부산대교점,부산광역시,영도구,"부산광역시 영도구 대교로 16, LG베스트샵 1,2층 (봉래동2가)",부산광역시 영도구 봉래동2가 112-6,35.0936655391,129.0433533579,393.99,051-715-2003,부산광역시 영도구청,051-419-4401,2026-01-07,3280000,부산광역시 영도구
이마트24 영도영선점,부산광역시,영도구,"부산광역시 영도구 절영로101번길 22, 1층 (영선동3가)",부산광역시 영도구 영선동3가 34-1,35.0870673956,129.0411560707,3.3,051-417-6321,부산광역시 영도구청,051-419-4401,2026-01-07,3280000,부산광역시 영도구
와인드,부산광역시,영도구,부산광역시 영도구 찬새미길 72,부산광역시 영도구 봉래동5가 133,35.09280442,129.0526125,256.65,,부산광역시 영도구청,051-419-4401,2026-01-07,3280000,부산광역시 영도구
숯불에 구운 감탄오리,부산광역시,영도구,"부산광역시 영도구 동삼로 53, 1층 (동삼동)",부산광역시 영도구 동삼동 322-102,35.0781045499,129.0703479679,20.65,,부산광역시 영도구청,051-419-4401,2026-01-07,3280000,부산광역시 영도구
행복을 판다,부산광역시,영도구,"부산광역시 영도구 함지로79번길 8, 영도실내체육관 야외주차장 (동삼동)",부산광역시 영도구 동삼동 516-100,35.0744792127,129.0659316021,10,,부산광역시 영도구청,051-419-4401,2026-01-07,3280000,부산광역시 영도구
빵빵붕어빵,부산광역시,영도구,"부산광역시 영도구 태종로 234-2, 1층 (청학동)",부산광역시 영도구 청학동 391-75,35.0956488394,129.053649154,28.7,,부산광역시 영도구청,051-419-4401,2026-01-07,3280000,부산광역시 영도구
이그니스커피,부산광역시,영도구,"부산광역시 영도구 함지로79번길 8, 영도실내체육관 야외주차장 일원 (동삼동)",부산광역시 영도구 동삼동 516-100,35.0744792127,129.0659316021,5,,부산광역시 영도구청,051-419-4401,2026-01-07,3280000,부산광역시 영도구
원케이커피,부산광역시,영도구,"부산광역시 영도구 태종로 730, 1층 11호 (동삼동)",부산광역시 영도구 동삼동 696-4,35.0708705537,129.079027959,39.91,,부산광역시 영도구청,051-419-4401,2026-01-07,3280000,부산광역시 영도구
(주)서민푸드랩 영도면옥 커피,부산광역시,영도구,"부산광역시 영도구 해양로 211, 1층 (동삼동)",부산광역시 영도구 동삼동 201-111,35.087439631,129.0728871483,29.75,,부산광역시 영도구청,051-419-4401,2026-01-07,3280000,부산광역시 영도구
지에스(GS)25 영도중리점,부산광역시,영도구,"부산광역시 영도구 절영로 448, 1층 (동삼동)",부산광역시 영도구 동삼동 600-1,35.0689265947,129.0660836033,3.3,,부산광역시 영도구청,051-419-4401,2026-01-07,3280000,부산광역시 영도구
프리템포커피로스터리(FREETEMPO COFFEE ROASTERY),부산광역시,영도구,"부산광역시 영도구 영선대로 82, 동부산아이존빌아파트 상가동 103호 (영선동2가)",부산광역시 영도구 영선동2가 175,35.0883400541,129.0431660883,30.37,,부산광역시 영도구청,051-419-4401,2026-01-07,3280000,부산광역시 영도구
아르떼카페(ARTE CAFE),부산광역시,영도구,"부산광역시 영도구 해양로247번길 29, 아르떼뮤지엄 부산 1층 (동삼동)",부산광역시 영도구 동삼동 201-74,35.0870935403,129.0763538301,293.82,02-515-5456,부산광역시 영도구청,051-419-4401,2026-01-07,3280000,부산광역시 영도구
한글카페153,부산광역시,영도구,"부산광역시 영도구 웃서발로69번길 5, 1층 (동삼동)",부산광역시 영도구 동삼동 231-96,35.0794018307,129.0697647725,117.72,051-404-0153,부산광역시 영도구청,051-419-4401,2026-01-07,3280000,부산광역시 영도구
오케이(ㅇㅋ),부산광역시,영도구,"부산광역시 영도구 남항서로 80, 1층 (남항동3가)",부산광역시 영도구 남항동3가 1-1,35.0877214797,129.0357539107,43.4,,부산광역시 영도구청,051-419-4401,2026-01-07,3280000,부산광역시 영도구
하르당 영도점,부산광역시,영도구,"부산광역시 영도구 태종로 107, 영도오션트라움 101호 (영선동1가)",부산광역시 영도구 영선동1가 21-1,35.09130732,129.0427401611,54.71,,부산광역시 영도구청,051-419-4401,2026-01-07,3280000,부산광역시 영도구
설빙 부산영도동삼점,부산광역시,영도구,"부산광역시 영도구 동삼로 56, 한나타워 205, 206호 (동삼동)",부산광역시 영도구 동삼동 317-8,35.0784083247,129.0707917269,114.84,051-403-3030,부산광역시 영도구청,051-419-4401,2026-01-07,3280000,부산광역시 영도구
지에스(GS)25 봉래대교점,부산광역시,영도구,"부산광역시 영도구 태종로73번길 20, 1층 (봉래동1가)",부산광역시 영도구 봉래동1가 48-4,35.0933020033,129.0394422724,3.3,,부산광역시 영도구청,051-419-4401,2026-01-07,3280000,부산광역시 영도구
무인신선,부산광역시,영도구,"부산광역시 영도구 동삼오션로 30, 121호 (동삼동)",부산광역시 영도구 동삼동 1180,35.069169828,129.0824045115,19,,부산광역시 영도구청,051-419-4401,2026-01-07,3280000,부산광역시 영도구
처갓집 치킨카3,부산광역시,영도구,"부산광역시 영도구 태종로 727, 학생생활관 아라관 앞 일대 (동삼동)",부산광역시 영도구 동삼동 1,35.0744079571,129.0873481454,5,051-852-9280,부산광역시 영도구청,051-419-4401,2026-01-07,3280000,부산광역시 영도구
카페희망역,부산광역시,영도구,"부산광역시 영도구 절영로29번길 14, 1층 (대교동2가)",부산광역시 영도구 대교동2가 159-10,35.0913300208,129.0400974921,13.32,051-417-6344,부산광역시 영도구청,051-419-4401,2026-01-07,3280000,부산광역시 영도구
굿샷커피(Good Shot Coffee),부산광역시,영도구,"부산광역시 영도구 대평남로 8, 1층 (대평동1가)",부산광역시 영도구 대평동1가 80,35.0900591278,129.0358291281,37.05,,부산광역시 영도구청,051-419-4401,2026-01-07,3280000,부산광역시 영도구
갓블레스유,부산광역시,영도구,"부산광역시 영도구 와치로 195, 104호 (동삼동, 제이)",부산광역시 영도구 동삼동 325-234,35.0778575251,129.0646527429,94.28,,부산광역시 영도구청,051-419-4401,2026-01-07,3280000,부산광역시 영도구
디저트39 영도동삼,부산광역시,영도구,"부산광역시 영도구 절영로 473, 1, 2층 (동삼동)",부산광역시 영도구 동삼동 571-10,35.0705373657,129.0681862536,218.58,051-405-0400,부산광역시 영도구청,051-419-4401,2026-01-07,3280000,부산광역시 영도구
카페동,부산광역시,영도구,"부산광역시 영도구 남항로41번길 8, 1층 (영선동2가)",부산광역시 영도구 영선동2가 13-2,35.088943848,129.0412722422,11.43,,부산광역시 영도구청,051-419-4401,2026-01-07,3280000,부산광역시 영도구
미야 케이크,부산광역시,영도구,"부산광역시 영도구 일산봉로 64, 미주아파트 상가동 103호 (청학동)",부산광역시 영도구 청학동 69-83,35.0877964306,129.0648654634,30.7,,부산광역시 영도구청,051-419-4401,2026-01-07,3280000,부산광역시 영도구
남항복권,부산광역시,영도구,"부산광역시 영도구 남항로 11, 1층 (남항동1가)",부산광역시 영도구 남항동1가 61-4,35.0898515228,129.0379458208,31.37,,부산광역시 영도구청,051-419-4401,2026-01-07,3280000,부산광역시 영도구
씨유 영도에덴2호점,부산광역시,영도구,"부산광역시 영도구 태종로 704, 에덴금호타운 상가동 1층 112호 (동삼동)",부산광역시 영도구 동삼동 680-12,35.07140949,129.0765702785,3.3,,부산광역시 영도구청,051-419-4401,2026-01-07,3280000,부산광역시 영도구
영도씨(0℃)카페 영도구청점(부산영도시니어클럽),부산광역시,영도구,"부산광역시 영도구 태종로 423, 영도구청 1층 (청학동)",부산광역시 영도구 청학동 48-3,35.0912174459,129.0679104924,23.65,,부산광역시 영도구청,051-419-4401,2026-01-07,3280000,부산광역시 영도구
분홍향기,부산광역시,영도구,"부산광역시 영도구 동삼오션로 30, 165호 (동삼동, 부산 오션시티 푸르지오)",부산광역시 영도구 동삼동 1180,35.069169828,129.0824045115,51,,부산광역시 영도구청,051-419-4401,2026-01-07,3280000,부산광역시 영도구
남가네,부산광역시,영도구,"부산광역시 영도구 동삼로28번길 4, 2층 (동삼동)",부산광역시 영도구 동삼동 358-7,35.0762963357,129.0721790862,8.42,,부산광역시 영도구청,051-419-4401,2026-01-07,3280000,부산광역시 영도구
처갓집 양념치킨 푸드카,부산광역시,영도구,"부산광역시 영도구 태종로 727, 한국해양대학교 학생생활관 아라관 앞 일대 (동삼동)",부산광역시 영도구 동삼동 1,35.0744079571,129.0873481454,5,,부산광역시 영도구청,051-419-4401,2026-01-07,3280000,부산광역시 영도구
처갓집 치킨카1,부산광역시,영도구,"부산광역시 영도구 태종로 727, 한국해양대학교 학생생활관 아라관 앞 일대 (동삼동)",부산광역시 영도구 동삼동 1,35.0744079571,129.0873481454,5,,부산광역시 영도구청,051-419-4401,2026-01-07,3280000,부산광역시 영도구
오늘도 라면,부산광역시,영도구,"부산광역시 영도구 동삼로 35-1, 1층 (동삼동)",부산광역시 영도구 동삼동 356-9,35.0767094212,129.0711936266,21.34,,부산광역시 영도구청,051-419-4401,2026-01-07,3280000,부산광역시 영도구
씨유(CU)영도청학조은점,부산광역시,영도구,"부산광역시 영도구 태종로390번길 5, 1층 (청학동)",부산광역시 영도구 청학동 102-12,35.0921569339,129.065658053,4.5,,부산광역시 영도구청,051-419-4401,2026-01-07,3280000,부산광역시 영도구
씨유 영도남항로점,부산광역시,영도구,"부산광역시 영도구 남항로 25, 1층 (남항동1가)",부산광역시 영도구 남항동1가 127-3,35.0893395397,129.0393082788,3.3,,부산광역시 영도구청,051-419-4401,2026-01-07,3280000,부산광역시 영도구
지에스25 동삼에일린점,부산광역시,영도구,"부산광역시 영도구 태종로 611, 113동 101호 (동삼동)",부산광역시 영도구 동삼동 383-1,35.0756069538,129.0742676677,3.3,,부산광역시 영도구청,051-419-4401,2026-01-07,3280000,부산광역시 영도구
맨날토스트,부산광역시,영도구,"부산광역시 영도구 와치로 195, 1층 102호 (동삼동, 제이)",부산광역시 영도구 동삼동 325-234,35.0778575251,129.0646527429,19.12,,부산광역시 영도구청,051-419-4401,2026-01-07,3280000,부산광역시 영도구
버드소리 영도점,부산광역시,영도구,"부산광역시 영도구 태종로700번길 19, 2층 (동삼동, 동삼동 삼창그린타운)",부산광역시 영도구 동삼동 679-1,35.0715705479,129.0749902166,99.89,,부산광역시 영도구청,051-419-4401,2026-01-07,3280000,부산광역시 영도구
하하푸드,부산광역시,영도구,,부산광역시 영도구 동삼동 1165,35.07719046,129.0820101,5,,부산광역시 영도구청,051-419-4401,2026-01-07,3280000,부산광역시 영도구
메종드콘뷰커피,부산광역시,영도구,"부산광역시 영도구 와치로37번길 4, 2층 (청학동)",부산광역시 영도구 청학동 149-49,35.0890843765,129.0597494521,231.12,,부산광역시 영도구청,051-419-4401,2026-01-07,3280000,부산광역시 영도구
0℃(영도씨)카페2호점(부산영도시니어클럽),부산광역시,영도구,"부산광역시 영도구 하나길 311, 2층 (신선동3가)",부산광역시 영도구 신선동3가 84-6,35.083152291,129.045109564,52,,부산광역시 영도구청,051-419-4401,2026-01-07,3280000,부산광역시 영도구
브레드 밋 파리,부산광역시,영도구,"부산광역시 영도구 청학로37번길 22, 1,2층 (청학동)",부산광역시 영도구 청학동 429-2,35.0923487643,129.0589652833,523.74,,부산광역시 영도구청,051-419-4401,2026-01-07,3280000,부산광역시 영도구
커피야,부산광역시,영도구,"부산광역시 영도구 남항로 17, 1층 (남항동1가)",부산광역시 영도구 남항동1가 125-9,35.0896496952,129.0387046545,1.59,,부산광역시 영도구청,051-419-4401,2026-01-07,3280000,부산광역시 영도구
기프투고,부산광역시,영도구,"부산광역시 영도구 해양로301번길 55, 아미르공원 일원 (동삼동)",부산광역시 영도구 동삼동 1165,35.0771904598,129.0820100968,5,,부산광역시 영도구청,051-419-4401,2026-01-07,3280000,부산광역시 영도구
